frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,s11_db
8.500000000000000000e+08,4.167666666666666941e+01,8.502233333333333309e-01,2.783691799010186152e-01,-5.279899901490481273e-01,-4.482294865484189650e+00
9.500000000000000000e+08,4.115966666666666640e+01,8.832699999999999996e-01,2.458015405014003785e-01,-5.739165199948699225e-01,-4.091597593028024171e+00
1.050000000000000000e+09,4.073100000000000165e+01,9.163700000000000179e-01,1.829407300184967833e-01,-6.118378714929342266e-01,-3.895390495178854717e+00
