frequency_hz,skin_er,skin_conductivity_s_per_m,s11_real,s11_imag,s11_db,s21_real,s21_imag,s21_db
8.500000000000000000e+08,4.167666666666666941e+01,8.502233333333333309e-01,-9.048773529641529825e-03,-8.726826864145920126e-02,-2.113642910647843465e+01,1.542038455577036393e-01,-2.994917517032327087e-02,-1.607729126641811490e+01
9.500000000000000000e+08,4.115966666666666640e+01,8.832699999999999996e-01,3.160465610242439438e-01,2.772843654859294404e-01,-7.525864063202032384e+00,8.362419653667639563e-02,-1.241836528289345792e-01,-1.649469280589440956e+01
1.050000000000000000e+09,4.073100000000000165e+01,9.163700000000000179e-01,6.333791392645803375e-01,2.275476220038305242e-01,-3.439525603578962976e+00,7.946391114897999666e-03,-1.167410339002033504e-01,-1.863545349127467432e+01
