feed_variant,s11_db_at_650MHz,n_tets,n_dofs
central_slot_gap,-0.08724752218422221,5331,34452
old_full_width_full_height,-3.2089739426785706,5534,35736
upper_throat_bridge,-9.306441963403124,5494,35484
