zref_ohm,height_override_mm,y_mm,xhalf_mm,s11_db_at_648MHz,gamma_real,gamma_imag,n_tets,n_dofs
10,0.45,1.45,0.8925,-22.384775349354037,0.06567854659390453,-0.038222191774139914,6208,39918
10,0.5,1.45,0.8925,-25.01444885020016,0.04664143225466636,-0.03124661796207677,6208,39918
10,0.55,1.45,0.8925,-28.430608062326534,0.028306359903818173,-0.025180120161630088,6208,39918
10,0.58,1.45,0.8925,-30.72447113269734,0.019172711851046076,-0.02188064781441144,6208,39918
10,0.6,1.45,0.8925,-32.286073497457345,0.0141456045993719,-0.019764533868738984,6208,39918
10,0.62,1.45,0.8925,-34.332779143020275,0.007331120289449229,-0.017748133219256015,6208,39918
