"Frequency [GHz]" 	"Bulk Conductivity"
1e-08 	0.00020000000000000001
2.5000000000000002e-06 	0.00020034
5.0000000000000004e-06 	0.00020117
7.5000000000000002e-06 	0.00020243
1.0000000000000001e-05 	0.00020408000000000001
1.2500000000000001e-05 	0.00020609
1.5e-05 	0.00020845
1.7499999999999998e-05 	0.00021115000000000001
2.0000000000000002e-05 	0.00021416999999999999
2.2500000000000001e-05 	0.0002175
2.5000000000000001e-05 	0.00022113999999999999
2.7500000000000001e-05 	0.00022508000000000001
3.0000000000000001e-05 	0.00022929999999999999
3.2499999999999997e-05 	0.00023382000000000001
3.4999999999999997e-05 	0.00023861999999999999
3.7499999999999997e-05 	0.00024369999999999999
4.0000000000000003e-05 	0.00024905000000000001
4.2500000000000003e-05 	0.00025465999999999998
4.5000000000000003e-05 	0.00026054000000000002
4.7500000000000003e-05 	0.00026668999999999998
5.0000000000000002e-05 	0.00027308999999999998
5.2500000000000002e-05 	0.00027974
5.5000000000000002e-05 	0.00028665
5.7500000000000002e-05 	0.00029380999999999998
6.0000000000000002e-05 	0.00030121
6.2500000000000001e-05 	0.00030885999999999999
6.4999999999999994e-05 	0.00031673999999999998
6.7500000000000001e-05 	0.00032487
6.9999999999999994e-05 	0.00033323000000000001
7.25e-05 	0.00034183
7.4999999999999993e-05 	0.00035064999999999999
7.75e-05 	0.00035971000000000001
8.0000000000000007e-05 	0.00036900000000000002
8.25e-05 	0.00037850999999999998
8.5000000000000006e-05 	0.00038824999999999998
8.7499999999999999e-05 	0.00039821000000000002
9.0000000000000006e-05 	0.00040839000000000001
9.2499999999999999e-05 	0.00041878999999999999
9.5000000000000005e-05 	0.00042941000000000002
9.7499999999999998e-05 	0.00044024
0.0001 	0.00045129000000000002
0.0001025 	0.00046254999999999999
0.000105 	0.00047402000000000002
0.0001075 	0.00048569999999999999
0.00011 	0.00049759999999999995
0.0001125 	0.00050969000000000003
0.000115 	0.000522
0.0001175 	0.00053450999999999998
0.00012 	0.00054721999999999995
0.0001225 	0.00056013000000000005
0.000125 	0.00057324999999999997
0.00012750000000000001 	0.00058655999999999997
0.00012999999999999999 	0.00060008000000000001
0.0001325 	0.00061379000000000002
0.000135 	0.00062768999999999998
0.00013750000000000001 	0.00064179000000000005
0.00013999999999999999 	0.00065609000000000002
0.00014249999999999999 	0.00067058000000000005
0.000145 	0.00068526000000000004
0.00014750000000000001 	0.00070012999999999998
0.00014999999999999999 	0.00071518999999999999
0.00015249999999999999 	0.00073043999999999995
0.000155 	0.00074587999999999998
0.00015750000000000001 	0.00076150000000000002
0.00016000000000000001 	0.00077731000000000002
0.00016249999999999999 	0.00079330999999999998
0.000165 	0.00080948000000000001
0.00016750000000000001 	0.00082585000000000004
0.00017000000000000001 	0.00084239000000000004
0.00017249999999999999 	0.00085910999999999995
0.000175 	0.00087602000000000003
0.0001775 	0.00089309999999999997
0.00018000000000000001 	0.00091036999999999997
0.00018249999999999999 	0.00092781000000000005
0.000185 	0.00094543000000000003
0.0001875 	0.00096321999999999998
0.00019000000000000001 	0.00098119000000000006
0.00019249999999999999 	0.0009993300000000001
0.000195 	0.0010177000000000001
0.0001975 	0.0010361000000000001
0.00020000000000000001 	0.0010548000000000001
0.00020249999999999999 	0.0010736000000000001
0.000205 	0.0010926
0.0002075 	0.0011118
0.00021000000000000001 	0.0011312
0.00021249999999999999 	0.0011506999999999999
0.00021499999999999999 	0.0011703
0.0002175 	0.0011902
0.00022000000000000001 	0.0012102
0.00022249999999999999 	0.0012304
0.00022499999999999999 	0.0012507
0.0002275 	0.0012712000000000001
0.00023000000000000001 	0.0012918999999999999
0.00023250000000000001 	0.0013127
0.00023499999999999999 	0.0013336999999999999
0.0002375 	0.0013549
0.00024000000000000001 	0.0013761999999999999
0.00024250000000000001 	0.0013977
0.00024499999999999999 	0.0014193000000000001
0.0002475 	0.0014411000000000001
0.00025000000000000001 	0.0014630000000000001
0.00025250000000000001 	0.0014852000000000001
0.00025500000000000002 	0.0015074000000000001
0.00025750000000000002 	0.0015298
0.00025999999999999998 	0.0015524
0.00026249999999999998 	0.0015751999999999999
0.00026499999999999999 	0.001598
0.0002675 	0.0016211000000000001
0.00027 	0.0016443
0.00027250000000000001 	0.0016676
0.00027500000000000002 	0.0016911000000000001
0.00027750000000000002 	0.0017148
0.00027999999999999998 	0.0017386000000000001
0.00028249999999999998 	0.0017625
0.00028499999999999999 	0.0017866
0.0002875 	0.0018109000000000001
0.00029 	0.0018353
0.00029250000000000001 	0.0018598
0.00029500000000000001 	0.0018845000000000001
0.00029750000000000002 	0.0019093000000000001
0.00029999999999999997 	0.0019342999999999999
0.00030249999999999998 	0.0019594999999999999
0.00030499999999999999 	0.0019846999999999998
0.00030749999999999999 	0.0020102000000000002
0.00031 	0.0020357000000000001
0.00031250000000000001 	0.0020614000000000001
0.00031500000000000001 	0.0020872999999999998
0.00031750000000000002 	0.0021132999999999998
0.00032000000000000003 	0.0021394000000000001
0.00032249999999999998 	0.0021657
0.00032499999999999999 	0.0021921000000000002
0.00032749999999999999 	0.0022187000000000001
0.00033 	0.0022453999999999998
0.0003325 	0.0022721999999999998
0.00033500000000000001 	0.0022991999999999999
0.00033750000000000002 	0.0023262999999999999
0.00034000000000000002 	0.0023536
0.00034249999999999998 	0.0023809999999999999
0.00034499999999999998 	0.0024085000000000001
0.00034749999999999999 	0.0024361999999999999
0.00035 	0.002464
0.0003525 	0.0024919
0.00035500000000000001 	0.0025200000000000001
0.00035750000000000002 	0.0025482
0.00036000000000000002 	0.0025764999999999998
