"Frequency [GHz]" 	"Relative Permittivity"
1e-08 	1136
2.5000000000000002e-06 	1135.2
5.0000000000000004e-06 	1134.5999999999999
7.5000000000000002e-06 	1134.0999999999999
1.0000000000000001e-05 	1133.5999999999999
1.2500000000000001e-05 	1133.0999999999999
1.5e-05 	1132.5999999999999
1.7499999999999998e-05 	1132.0999999999999
2.0000000000000002e-05 	1131.7
2.2500000000000001e-05 	1131.3
2.5000000000000001e-05 	1130.8
2.7500000000000001e-05 	1130.4000000000001
3.0000000000000001e-05 	1130
3.2499999999999997e-05 	1129.5999999999999
3.4999999999999997e-05 	1129.2
3.7499999999999997e-05 	1128.7
4.0000000000000003e-05 	1128.3
4.2500000000000003e-05 	1127.9000000000001
4.5000000000000003e-05 	1127.5
4.7500000000000003e-05 	1127.2
5.0000000000000002e-05 	1126.8
5.2500000000000002e-05 	1126.4000000000001
5.5000000000000002e-05 	1126
5.7500000000000002e-05 	1125.5999999999999
6.0000000000000002e-05 	1125.2
6.2500000000000001e-05 	1124.8
6.4999999999999994e-05 	1124.4000000000001
6.7500000000000001e-05 	1124.0999999999999
6.9999999999999994e-05 	1123.7
7.25e-05 	1123.3
7.4999999999999993e-05 	1122.9000000000001
7.75e-05 	1122.5999999999999
8.0000000000000007e-05 	1122.2
8.25e-05 	1121.8
8.5000000000000006e-05 	1121.4000000000001
8.7499999999999999e-05 	1121.0999999999999
9.0000000000000006e-05 	1120.7
9.2499999999999999e-05 	1120.3
9.5000000000000005e-05 	1119.9000000000001
9.7499999999999998e-05 	1119.5999999999999
0.0001 	1119.2
0.0001025 	1118.8
0.000105 	1118.5
0.0001075 	1118.0999999999999
0.00011 	1117.7
0.0001125 	1117.4000000000001
0.000115 	1117
0.0001175 	1116.7
0.00012 	1116.3
0.0001225 	1115.9000000000001
0.000125 	1115.5999999999999
0.00012750000000000001 	1115.2
0.00012999999999999999 	1114.8
0.0001325 	1114.5
0.000135 	1114.0999999999999
0.00013750000000000001 	1113.8
0.00013999999999999999 	1113.4000000000001
0.00014249999999999999 	1113
0.000145 	1112.7
0.00014750000000000001 	1112.3
0.00014999999999999999 	1111.9000000000001
0.00015249999999999999 	1111.5999999999999
0.000155 	1111.2
0.00015750000000000001 	1110.9000000000001
0.00016000000000000001 	1110.5
0.00016249999999999999 	1110.2
0.000165 	1109.8
0.00016750000000000001 	1109.4000000000001
0.00017000000000000001 	1109.0999999999999
0.00017249999999999999 	1108.7
